#,"Date Time, GMT-07:00","Water Content, må_/må_ (LGR S/N: 20438561, SEN S/N: 20446495, LBL: probe1)","Water Content, må_/må_ (LGR S/N: 20438561, SEN S/N: 20446496, LBL: probe2)","Water Content, må_/må_ (LGR S/N: 20438561, SEN S/N: 20446497, LBL: probe3)"
1,8/22/18 16:25,0.2677,-0.2491,0.3339
2,8/22/18 16:26,0.2677,-0.2491,0.3335
3,8/22/18 16:27,0.268,-0.2491,0.3339
4,8/22/18 16:28,0.268,-0.2491,0.3339
5,8/22/18 16:29,0.2684,-0.2491,0.3335
6,8/22/18 16:30,0.2684,-0.2491,0.3335
7,8/22/18 16:31,0.2687,-0.2491,0.333
8,8/22/18 16:32,0.2684,-0.2491,0.3335
9,8/22/18 16:33,0.277,-0.2491,0.333
10,8/22/18 16:34,0.2736,-0.2491,0.333
11,8/22/18 16:35,0.2729,-0.2491,0.333
12,8/22/18 16:36,0.2726,-0.2491,0.333
13,8/22/18 16:37,0.2729,-0.2491,0.3326
14,8/22/18 16:38,0.2726,-0.2491,0.3326
15,8/22/18 16:39,0.2729,-0.2491,0.3321
16,8/22/18 16:40,0.2726,-0.2491,0.3326
17,8/22/18 16:41,0.2729,-0.2491,0.3321
18,8/22/18 16:42,0.2726,-0.2491,0.3326
19,8/22/18 16:43,0.2729,-0.2491,0.3321
20,8/22/18 16:44,0.2726,-0.2491,0.3321
21,8/22/18 16:45,0.2729,-0.2491,0.3321
22,8/22/18 16:46,0.2729,-0.2491,0.3317
23,8/22/18 16:47,0.2729,-0.2491,0.3317
24,8/22/18 16:48,0.2729,-0.2491,0.3317
25,8/22/18 16:49,0.2729,-0.2491,0.3317
26,8/22/18 16:50,0.2729,-0.2491,0.3317
27,8/22/18 16:51,0.2729,-0.2491,0.3317
28,8/22/18 16:52,0.2729,-0.2491,0.3312
29,8/22/18 16:53,0.2729,-0.2491,0.3312
30,8/22/18 16:54,0.2729,-0.2491,0.3308
31,8/22/18 16:55,0.2732,-0.2491,0.3312
32,8/22/18 16:56,0.2729,-0.2491,0.3308
33,8/22/18 16:57,0.2732,-0.2491,0.3308
34,8/22/18 16:58,0.2729,-0.2491,0.3308
35,8/22/18 16:59,0.2732,-0.2491,0.3308
36,8/22/18 17:00,0.2729,-0.2491,0.3304
37,8/22/18 17:01,0.2729,-0.2491,0.3308
38,8/22/18 17:02,0.2729,-0.2491,0.3304
39,8/22/18 17:03,0.2729,-0.2491,0.3304
40,8/22/18 17:04,0.2729,-0.2491,0.3304
41,8/22/18 17:05,0.2732,-0.2491,0.3304
42,8/22/18 17:06,0.2729,-0.2491,0.3304
43,8/22/18 17:07,0.2732,-0.2491,0.3304
44,8/22/18 17:08,0.2729,-0.2491,0.3299
45,8/22/18 17:09,0.2732,-0.2491,0.3304
46,8/22/18 17:10,0.2729,-0.2491,0.3299
47,8/22/18 17:11,0.2732,-0.2491,0.3304
48,8/22/18 17:12,0.2729,-0.2491,0.3299
49,8/22/18 17:13,0.2729,-0.2491,0.3299
50,8/22/18 17:14,0.2729,-0.2505,0.3299
51,8/22/18 17:15,0.2732,-0.2491,0.3299
52,8/22/18 17:16,0.2729,-0.2505,0.3299
53,8/22/18 17:17,0.2732,-0.2505,0.3299
54,8/22/18 17:18,0.2732,-0.2505,0.3299
55,8/22/18 17:19,0.2732,-0.2505,0.3299
56,8/22/18 17:20,0.2729,-0.2505,0.3299
57,8/22/18 17:21,0.2732,-0.2505,0.3295
58,8/22/18 17:22,0.2732,-0.2505,0.3295
59,8/22/18 17:23,0.2732,-0.2491,0.3295
60,8/22/18 17:24,0.2732,-0.2505,0.3295
61,8/22/18 17:25,0.2732,-0.2505,0.3295
62,8/22/18 17:26,0.2732,-0.2505,0.3299
63,8/22/18 17:27,0.2732,-0.2505,0.3295
64,8/22/18 17:28,0.2732,-0.2505,0.3295
65,8/22/18 17:29,0.2732,-0.2505,0.3295
66,8/22/18 17:30,0.2732,-0.2505,0.3295
67,8/22/18 17:31,0.2732,-0.2505,0.3295
68,8/22/18 17:32,0.2732,-0.2505,0.329
69,8/22/18 17:33,0.2732,-0.2505,0.3295
