unit,"Date Time, GMT-07:00","wl3 Abs Pres, kPa (LGR S/N: 20389410, SEN S/N: 20389410)","wl3 Temp, ÎçC (LGR S/N: 20389410, SEN S/N: 20389410)","wl2 Abs Pres, kPa (LGR S/N: 20389423, SEN S/N: 20389423)","wl2 Temp, å¡C (LGR S/N: 20389423, SEN S/N: 20389423)","wl1 Abs Pres, kPa (LGR S/N: 20389415, SEN S/N: 20389415)","wl2 Temp, ŒÁC (LGR S/N: 20389415, SEN S/N: 20389415)"
wl3,8/31/18 14:00,96.606,26.781,96.622,26.879,96.578,26.195
wl3,8/31/18 14:05,96.591,26.879,96.606,26.879,96.568,26.39
wl3,8/31/18 14:10,96.591,26.879,96.592,26.977,96.57,26.488
wl3,8/31/18 14:15,96.576,26.977,96.595,27.075,96.573,26.585
wl3,8/31/18 14:20,96.576,26.977,96.581,27.173,96.544,26.683
wl3,8/31/18 14:25,96.561,27.075,96.564,27.173,96.534,26.879
wl3,8/31/18 14:30,96.546,27.173,96.55,27.272,96.536,26.977
wl3,8/31/18 14:35,96.549,27.272,96.55,27.272,96.507,27.075
wl3,8/31/18 14:40,96.534,27.37,96.536,27.37,96.507,27.075
wl3,8/31/18 14:45,96.517,27.37,96.523,27.468,96.494,27.173
wl3,8/31/18 14:50,96.519,27.468,96.523,27.468,96.481,27.272
wl3,8/31/18 14:55,96.502,27.468,96.509,27.567,96.465,27.272
wl3,8/31/18 15:00,96.505,27.567,96.495,27.665,96.484,27.37
wl3,8/31/18 15:05,96.507,27.665,96.498,27.764,96.452,27.37
wl3,8/31/18 15:10,96.49,27.665,96.484,27.862,96.455,27.468
wl3,8/31/18 15:15,96.475,27.764,96.484,27.862,96.442,27.567
wl3,8/31/18 15:20,96.478,27.862,96.47,27.961,96.426,27.567
wl3,8/31/18 15:25,96.46,27.862,96.456,28.06,96.413,27.665
wl3,8/31/18 15:30,96.445,27.961,96.459,28.159,96.415,27.764
wl3,8/31/18 15:35,96.448,28.06,96.462,28.258,96.402,27.862
wl3,8/31/18 15:40,96.433,28.159,96.448,28.357,96.373,27.961
