"Plot Title: wl_2"
"#","Date Time, GMT-07:00","Abs Pres, kPa (LGR S/N: 20389423, SEN S/N: 20389423)","Temp, °C (LGR S/N: 20389423, SEN S/N: 20389423)","Water Level, meters (LGR S/N: 20389423)","Coupler Detached (LGR S/N: 20389423)","Coupler Attached (LGR S/N: 20389423)","Host Connected (LGR S/N: 20389423)","Stopped (LGR S/N: 20389423)","End Of File (LGR S/N: 20389423)"
1,10/10/18 05:00:00 PM,96.539,24.158,0.000,Logged,,,,
2,10/10/18 05:05:00 PM,96.553,24.062,0.001,,,,,
3,10/10/18 05:10:00 PM,96.550,23.966,0.001,,,,,
4,10/10/18 05:15:00 PM,96.547,23.869,0.000,,,,,
5,10/10/18 05:20:00 PM,96.544,23.773,-0.000,,,,,
6,10/10/18 05:25:00 PM,96.541,23.677,-0.001,,,,,
7,10/10/18 05:30:00 PM,96.538,23.581,-0.002,,,,,
8,10/10/18 05:35:00 PM,96.535,23.484,-0.002,,,,,
9,10/10/18 05:40:00 PM,96.532,23.388,-0.003,,,,,
10,10/10/18 05:45:00 PM,96.543,23.196,-0.002,,,,,
11,10/10/18 05:50:00 PM,96.543,23.196,-0.002,,,,,
12,10/10/18 05:55:00 PM,96.540,23.100,-0.003,,,,,
13,10/10/18 06:00:00 PM,96.556,23.100,-0.001,,,,,
14,10/10/18 06:05:00 PM,96.556,23.100,-0.001,,,,,
15,10/10/18 06:10:00 PM,96.540,23.100,-0.003,,,,,
16,10/10/18 06:15:00 PM,96.540,23.100,-0.003,,,,,
17,10/10/18 06:20:00 PM,96.556,23.100,-0.001,,,,,
18,10/10/18 06:25:00 PM,96.556,23.100,-0.001,,,,,
19,10/10/18 06:30:00 PM,96.540,23.100,-0.003,,,,,
20,10/10/18 06:35:00 PM,96.556,23.100,-0.001,,,,,
21,10/10/18 06:40:00 PM,96.540,23.100,-0.003,,,,,
22,10/10/18 06:45:00 PM,96.573,23.100,0.001,,,,,
23,10/10/18 06:50:00 PM,96.570,23.004,0.000,,,,,
24,10/10/18 06:55:00 PM,96.553,23.004,-0.001,,,,,
25,10/10/18 07:00:00 PM,96.570,23.004,0.000,,,,,
