"Plot Title: OM_WL2"
"#","Date Time, GMT-07:00","Abs Pres, kPa (LGR S/N: 20389423, SEN S/N: 20389423)","Temp, °C (LGR S/N: 20389423, SEN S/N: 20389423)","Coupler Detached (LGR S/N: 20389423)","Coupler Attached (LGR S/N: 20389423)","Host Connected (LGR S/N: 20389423)","End Of File (LGR S/N: 20389423)"
1,08/31/18 02:00:00 PM,96.622,26.879,Logged,,,
2,08/31/18 02:05:00 PM,96.606,26.879,,,,
3,08/31/18 02:10:00 PM,96.592,26.977,,,,
4,08/31/18 02:15:00 PM,96.595,27.075,,,,
5,08/31/18 02:20:00 PM,96.581,27.173,,,,
6,08/31/18 02:25:00 PM,96.564,27.173,,,,
7,08/31/18 02:30:00 PM,96.550,27.272,,,,
8,08/31/18 02:35:00 PM,96.550,27.272,,,,
9,08/31/18 02:40:00 PM,96.536,27.370,,,,
10,08/31/18 02:45:00 PM,96.523,27.468,,,,
11,08/31/18 02:50:00 PM,96.523,27.468,,,,
12,08/31/18 02:55:00 PM,96.509,27.567,,,,
13,08/31/18 03:00:00 PM,96.495,27.665,,,,
14,08/31/18 03:05:00 PM,96.498,27.764,,,,
15,08/31/18 03:10:00 PM,96.484,27.862,,,,
16,08/31/18 03:15:00 PM,96.484,27.862,,,,
17,08/31/18 03:20:00 PM,96.470,27.961,,,,
18,08/31/18 03:25:00 PM,96.456,28.060,,,,
19,08/31/18 03:30:00 PM,96.459,28.159,,,,
20,08/31/18 03:35:00 PM,96.462,28.258,,,,
21,08/31/18 03:40:00 PM,96.448,28.357,,,,
22,08/31/18 03:45:00 PM,96.418,28.456,,,,
23,08/31/18 03:50:00 PM,96.421,28.555,,,,
24,08/31/18 03:55:00 PM,96.404,28.555,,,,
25,08/31/18 04:00:00 PM,96.418,28.456,,,,
26,08/31/18 04:05:00 PM,96.412,28.258,,,,
27,08/31/18 04:10:00 PM,96.392,28.159,,,,
28,08/31/18 04:15:00 PM,96.386,27.961,,,,
29,08/31/18 04:20:00 PM,96.367,27.862,,,,
30,08/31/18 04:25:00 PM,96.364,27.764,,,,
31,08/31/18 04:30:00 PM,96.361,27.665,,,,
32,08/31/18 04:35:00 PM,96.358,27.567,,,,
33,08/31/18 04:40:00 PM,96.355,27.468,,,,
34,08/31/18 04:45:00 PM,96.335,27.370,,,,
35,08/31/18 04:50:00 PM,96.332,27.272,,,,
36,08/31/18 04:55:00 PM,96.329,27.173,,,,
37,08/31/18 05:00:00 PM,96.326,27.075,,,,
38,08/31/18 05:05:00 PM,96.326,27.075,,,,
39,08/31/18 05:10:00 PM,96.307,26.977,,,,
40,08/31/18 05:15:00 PM,96.307,26.977,,,,
41,08/31/18 05:20:00 PM,96.307,26.977,,,,
42,08/31/18 05:25:00 PM,96.307,26.977,,,,
43,08/31/18 05:30:00 PM,96.307,26.977,,,,
44,08/31/18 05:35:00 PM,96.293,27.075,,,,
45,08/31/18 05:40:00 PM,96.293,27.075,,,,
46,08/31/18 05:45:00 PM,96.293,27.075,,,,
47,08/31/18 05:50:00 PM,96.293,27.075,,,,
48,08/31/18 05:55:00 PM,96.273,26.977,,,,
49,08/31/18 06:00:00 PM,96.273,26.977,,,,
50,08/31/18 06:05:00 PM,96.287,26.879,,,,
51,08/31/18 06:10:00 PM,96.253,26.879,,,,
52,08/31/18 06:15:00 PM,96.250,26.781,,,,
53,08/31/18 06:20:00 PM,96.267,26.781,,,,
54,08/31/18 06:25:00 PM,96.264,26.683,,,,
55,08/31/18 06:30:00 PM,96.264,26.683,,,,
