"ï»¿""Plot Title: OM_WL3""",,,,,,,,
#,"Date Time, GMT-07:00","Abs Pres, kPa (LGR S/N: 20389410, SEN S/N: 20389410)","Temp, Â°C (LGR S/N: 20389410, SEN S/N: 20389410)",Coupler Detached (LGR S/N: 20389410),Coupler Attached (LGR S/N: 20389410),Host Connected (LGR S/N: 20389410),Stopped (LGR S/N: 20389410),End Of File (LGR S/N: 20389410)
1,8/31/18 14:00,96.606,26.781,Logged,,,,
2,8/31/18 14:05,96.591,26.879,,,,,
3,8/31/18 14:10,96.591,26.879,,,,,
4,8/31/18 14:15,96.576,26.977,,,,,
5,8/31/18 14:20,96.576,26.977,,,,,
6,8/31/18 14:25,96.561,27.075,,,,,
7,8/31/18 14:30,96.546,27.173,,,,,
8,8/31/18 14:35,96.549,27.272,,,,,
9,8/31/18 14:40,96.534,27.37,,,,,
10,8/31/18 14:45,96.517,27.37,,,,,
11,8/31/18 14:50,96.519,27.468,,,,,
12,8/31/18 14:55,96.502,27.468,,,,,
13,8/31/18 15:00,96.505,27.567,,,,,
14,8/31/18 15:05,96.507,27.665,,,,,
15,8/31/18 15:10,96.49,27.665,,,,,
16,8/31/18 15:15,96.475,27.764,,,,,
17,8/31/18 15:20,96.478,27.862,,,,,
18,8/31/18 15:25,96.46,27.862,,,,,
19,8/31/18 15:30,96.445,27.961,,,,,
20,8/31/18 15:35,96.448,28.06,,,,,
21,8/31/18 15:40,96.433,28.159,,,,,
22,8/31/18 15:45,96.418,28.258,,,,,
23,8/31/18 15:50,96.421,28.357,,,,,
24,8/31/18 15:55,96.403,28.357,,,,,
25,8/31/18 16:00,96.4,28.258,,,,,
26,8/31/18 16:05,96.377,28.06,,,,,
27,8/31/18 16:10,96.392,27.961,,,,,
28,8/31/18 16:15,96.368,27.764,,,,,
29,8/31/18 16:20,96.366,27.665,,,,,
30,8/31/18 16:25,96.363,27.567,,,,,
31,8/31/18 16:30,96.36,27.468,,,,,
32,8/31/18 16:35,96.357,27.37,,,,,
33,8/31/18 16:40,96.337,27.272,,,,,
34,8/31/18 16:45,96.334,27.173,,,,,
35,8/31/18 16:50,96.331,27.075,,,,,
